Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
F;67206;Department of Health and Human Services;Area Agency on Aging Administration;Fulltime-Regular;Office Services Coordinator;2001
M;67863.01;Department of General Services;Facilities;Fulltime-Regular;Supply Technician II;2001
M;70301;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2001
M;40843.75;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;2005
M;91751.37;Department of Environmental Protection;Water Quality Monitoring and Planning;Fulltime-Regular;Water Quality Specialist II;1995
F;64057.09;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Office Services Coordinator;1999
M;141063.02;Department of Police;FSB Special Operations Division;Fulltime-Regular;Police Captain;1995
M;72902;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;2006
M;55328;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2013
M;107128.71;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Sergeant;1992
F;95263.92;Department of Recreation;Southern Region Area III;Fulltime-Regular;Recreation Supervisor;1993
F;81066;Department of Police;ISB Family Crimes Division Family Outreach Section;Fulltime-Regular;Client Assistance Specialist;1997
M;62835.65;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2000
F;42053.83;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
F;100849.36;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;1988
F;97912;Department of Finance;Insurance;Fulltime-Regular;Insurance Risk Analyst;1998
M;50910;Fire and Rescue Services;Station 21;Fulltime-Regular;Firefighter/Rescuer III;2014
M;118400;Department of Technology Services;ERP Technical Support;Fulltime-Regular;Senior Information Technology Specialist;2015
M;140794;Department of Technology Services;ERP Technical Support;Fulltime-Regular;Technology Expert;2014
F;74146.46;Department of Health and Human Services;Aging and Disability Resource Unit;Fulltime-Regular;Client Assistance Specialist;2000
F;44810;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2005
M;50825.19;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Services Assistant;2007
M;53788;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
F;84974;Department of Finance;Accounts Receivable;Fulltime-Regular;Administrative Specialist II;2005
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
F;46516.83;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2003
F;36914.25;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;2013
F;62903;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2007
F;91007.15;Department of Liquor Control;Potomac;Fulltime-Regular;Liquor Store Manager;1986
F;100688;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Shift Commander (Lieutenant);1997
M;86537.84;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;1988
F;48258.81;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Principal Administrative Aide;2007
M;81066;Department of Health and Human Services;Adult Drug Court;Fulltime-Regular;Behavioral Health Associate Counselor;2012
M;112899;Department of General Services;Facilities;Fulltime-Regular;Senior Engineer;2008
F;75483.8;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Transit Operations Supervisor;1998
M;56990;Fire and Rescue Services;Station 29;Fulltime-Regular;Firefighter/Rescuer III;2014
F;41954.12;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2005
M;16049;Department of Police;MSB Personnel Division;Parttime-Regular;Police Cadet;2013
F;66158.11;Department of Public Libraries;Aspen Hill Library;Fulltime-Regular;Library Assistant Supervisor;2001
M;92756.7;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;1988
F;59787.12;Department of Liquor Control;White Oak;Fulltime-Regular;Liquor Store Clerk II;1999
M;106754.6;Fire and Rescue Services;Fire and Explosive Investigations;Fulltime-Regular;Fire/Rescue Lieutenant;1986
F;86588;Department of Police;PSB 3rd District Educational Facilities Officers;Fulltime-Regular;Police Officer III;2006
M;100047.96;Department of Recreation;Office of the Director;Fulltime-Regular;Program Manager II;2007
F;91801.23;Department of Finance;Grants Accounting;Fulltime-Regular;Accountant/Auditor III;2010
F;69626.72;Correction and Rehabilitation;DS Health Services;Fulltime-Regular;Correctional Health Nurse II;2014
M;45048.5;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
F;20419.48;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2006
M;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
F;54402.73;Department of Police;MSB Training and Education Division;Fulltime-Regular;Office Services Coordinator;2012
M;56733;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
F;28772.17;Department of Liquor Control;Goshen Crossing;Parttime-Regular;Liquor Store Clerk I;2015
M;67753;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2007
F;46259.09;Department of Health and Human Services;Director Office;Fulltime-Regular;Office Services Coordinator;2014
M;50910;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2014
F;126000;Department of Technology Services;ERP Financials;Fulltime-Regular;ERP Functional Business Analyst;2016
M;73801;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;1997
F;24023.1;Department of Public Libraries;Bethesda Library;Parttime-Regular;Library Assistant I;2005
M;175127;Department of Permitting Services;Director Office;Fulltime-Regular;Manager I;1989
F;56280.85;County Attorney Office;Health and Human Services;Parttime-Regular;Assistant County Attorney III;2011
M;89620;Department of Police;FSB Traffic Division Collision Reconstruction;Fulltime-Regular;Police Officer III;1999
M;36493.52;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Motor Pool Attendant;2008
F;68614.81;Department of Police;FSB Animal Services Division;Fulltime-Regular;Program Manager II;2013
F;28738.03;Department of Public Libraries;Germantown Library;Parttime-Regular;Library Desk Assistant;1992
M;45000;Department of General Services;Central Duplicating;Fulltime-Regular;Mail Clerk;2016
M;110229;Fire and Rescue Services;Station 32;Fulltime-Regular;Fire/Rescue Captain;1998
M;80784;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;1997
F;18247.04;Department of Public Libraries;Chevy Chase Library;Parttime-Regular;Library Aide;2006
M;56733;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
M;43432.94;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Motor Pool Attendant;2007
M;48258.81;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2007
F;56306.83;Department of Health and Human Services;Aging and Disability Resource Unit;Fulltime-Regular;Client Assistance Specialist;2012
M;116285.97;Department of Environmental Protection;Water and Waste Water Management;Fulltime-Regular;Senior Engineer;1995
M;43525.71;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2013
M;107128.71;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Sergeant;1988
M;83497.98;Department of Technology Services;ETSD Radio Communications Services;Fulltime-Regular;Communications Equipment Technician II;1990
M;101829;Fire and Rescue Services;Station 31;Fulltime-Regular;Fire/Rescue Lieutenant;2001
M;70052;Fire and Rescue Services;Station 31;Fulltime-Regular;Firefighter/Rescuer III;2006
M;96869;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2004
M;92756.7;Department of Police;PSB 3rd District Traffic Squad;Fulltime-Regular;Police Officer III;1995
M;70435;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2007
F;140794;County Attorney Office;Insurance Defense Litigation;Fulltime-Regular;Assistant County Attorney III;2007
M;128560.48;Sheriff Office;Administration;Fulltime-Regular;Deputy Sheriff Captain;1988
F;116042.92;Department of Recreation;Countywide Programs;Fulltime-Regular;Manager III;1981
M;56478;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2014
F;19728.85;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2007
M;118400;Department of General Services;Automation;Fulltime-Regular;Senior Information Technology Specialist;2003
M;18684.23;Department of Environmental Protection;Solid Waste Services Recycling;Parttime-Regular;Office Clerk;2013
F;135392;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Manager III;1989
M;93396;Department of Finance;Operations and Administration - Treasury;Fulltime-Regular;Senior Business Development Specialist;2007
M;55328;Fire and Rescue Services;Station 26;Fulltime-Regular;Firefighter/Rescuer III;2013
F;100849.36;Department of Public Libraries;Aspen Hill Library;Fulltime-Regular;Librarian II;1977
F;40534.48;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2007
F;95741.4;Department of Transportation;Highway Services;Fulltime-Regular;Management and Budget Specialist III;2007
M;92756.7;Department of Police;ISB Major Crimes Division Fugitive Section;Fulltime-Regular;Police Officer III;1995
F;95715.51;Department of Permitting Services;Land Development Sediment Stormwater Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;2014
F;54921.24;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;2015
F;105743.92;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;1993
F;60091.47;Department of Public Libraries;White Oak Library;Fulltime-Regular;Librarian I;2014
M;102664;Department of Housing and Community Affairs;Grants Management;Fulltime-Regular;Senior Planning Specialist;2001
M;46318.99;Department of Liquor Control;Customer Service;Fulltime-Regular;Alcohol Beverage Purchasing Specialist;2012
F;140794;County Attorney Office;Insurance Defense Litigation;Fulltime-Regular;Assistant County Attorney III;2002
F;72333.69;Department of Police;ISB Criminal Investigations Division Forensic Services Section;Fulltime-Regular;Forensics Specialist II;2002
F;51289.57;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Safety and Training Instructor;2007
M;69368.62;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Transit Services Supervisor;2005
M;80829;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2003
M;107846.65;Community Engagement Cluster;Community Engagement Cluster;Fulltime-Regular;Community Outreach Manager;2012
F;76321.49;Department of Public Libraries;Marilyn J Praisner Library;Fulltime-Regular;Library Assistant Supervisor;1989
F;210132.65;Offices of the County Executive;Chief Administrative Officer Office;Fulltime-Regular;Manager I;2004
F;60178.88;Department of Police;MSB Information Mgmt and Tech Division Records Management Section;Fulltime-Regular;Office Services Coordinator;2002
F;60997.41;Department of Health and Human Services;Adult Public Guardianship;Parttime-Regular;Social Worker III;2007
M;128519;County Council;Council Members and Staff;Fulltime-Regular;Council Member;2014
M;120967;Fire and Rescue Services;Operations Division;Fulltime-Regular;Fire/Rescue Captain;1997
F;135392;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Manager III;2008
F;89471.88;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker IV;2009
M;118400;Department of General Services;Building Design and Construction;Fulltime-Regular;Capital Projects Manager;2009
M;107128.71;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Sergeant;1994
F;117226.13;Department of Technology Services;Media Services;Fulltime-Regular;Manager III;1987
M;101000;Department of Technology Services;EASD Web and Mobile Applications;Fulltime-Regular;Senior Information Technology Specialist;2016
M;90205;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2004
M;72000;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2016
M;74424;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff III;2000
