id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
5059,M,104717.6,Fire and Rescue Services,Station 18,Fulltime-Regular,Fire/Rescue Lieutenant,1985
5060,M,65716,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2007
5061,M,87536,Fire and Rescue Services,Station 12,Fulltime-Regular,Master Firefighter/Rescuer,2004
5062,M,92756.7,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,1996
5063,M,50053.88,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Motor Pool Attendant,1996
5064,F,86370.52,Department of Health and Human Services,Aging and Disability Resource Unit,Fulltime-Regular,Program Manager I,1998
5065,M,97912,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Land Survey Supervisor,2008
5066,M,80089,Fire and Rescue Services,Station 20,Fulltime-Regular,Firefighter/Rescuer III,2001
5067,M,87523.22,Department of General Services,Facilities Maintenance,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,1994
5068,F,71796.52,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,2005
5069,M,50785.5,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist I,2015
5070,M,118930,Fire and Rescue Services,Station 21,Fulltime-Regular,Fire/Rescue Captain,1998
5071,M,52701.95,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
5072,F,60097.19,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2009
5073,F,64854,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff III,2008
5074,M,45775.85,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,2003
5075,F,49068.12,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2014
5076,F,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2008
5077,M,65752,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2011
5078,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2012
5079,M,41228.72,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,2006
5080,M,54444.26,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2006
5081,M,73801,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,2005
5082,F,49068,Department of Health and Human Services,Home Energy Assistance Program,Fulltime-Regular,Income Assistance Program Specialist II,2016
5083,F,76271.8,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Administrative Specialist III,2004
5084,F,61135.2,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,1999
5085,M,56689.66,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2002
5086,M,56306.83,Department of Police,MSB Information Management and Technology DivisioinCrime Analysis Section,Fulltime-Regular,Crime Analyst,2007
5087,F,55139.73,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Principal Administrative Aide,2001
5088,F,51466.63,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Office Services Coordinator,2004
5089,M,107128.71,Department of Police,PSB 4th District Traffic Squad,Fulltime-Regular,Police Sergeant,1990
5090,F,91827.56,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Health Nurse II,2005
5091,F,135392,Department of Health and Human Services,Clinical Assessment and Triage Services,Fulltime-Regular,Manager III,1989
5092,M,79323.24,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Permitting and Code Enforcement Inspector III,2013
5093,M,95187.98,Fire and Rescue Services,Station 4,Fulltime-Regular,Master Firefighter/Rescuer,1984
5094,M,67753,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,2007
5095,M,83497.98,Department of General Services,Fleet Management Administration,Fulltime-Regular,Facilities and Equipment Maintenance Coordinator,1985
5096,M,121952,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,1991
5097,M,48260.15,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006
5098,M,92756.7,Department of Police,PSB 1st District Educational Facilities Officers,Fulltime-Regular,Police Officer III,1988
5099,F,68866.34,Department of General Services,Real Estate Office,Fulltime-Regular,Program Specialist I,2005
5100,F,55702.43,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2006
5101,M,44708.88,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Transportation Systems Technician III,2011
5102,F,48046.91,Department of Public Libraries,Chevy Chase Library,Fulltime-Regular,Library Assistant I,2004
5103,M,59276.91,Department of General Services,Facilities Maintenance,Fulltime-Regular,Locksmith,2016
5104,F,65493.51,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,2005
5105,M,54089.1,Department of Finance,Tax Operations,Fulltime-Regular,Office Services Coordinator,2015
5106,M,39257,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2009
5107,M,69368.62,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,2006
5108,M,39257.31,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2016
5109,F,132143.02,Department of Permitting Services,Building Construction Permit Processing,Fulltime-Regular,Manager III,2003
5110,F,48957.37,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Services Assistant,2007
5111,F,67206,Department of Transportation,Parking Management,Fulltime-Regular,Office Services Coordinator,1999
5112,F,112175.51,Department of Health and Human Services,Community Support Network for People with Disabilities,Fulltime-Regular,Community Outreach Manager,1987
5113,M,58455,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2013
5114,M,90883,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,2004
5115,F,118400,Department of Technology Services,COO Office - Project Mangement Office,Fulltime-Regular,Senior Information Technology Specialist,2009
5116,F,65752,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2011
5117,F,102664,Department of Health and Human Services,Disease Control - Immunization,Fulltime-Regular,Nurse Manager,2006
5118,F,56941.54,Department of Liquor Control,Retail Administration,Fulltime-Regular,Administrative Specialist I,2002
5119,M,49618.44,Department of Liquor Control,Montrose,Fulltime-Regular,Liquor Store Assistant Manager,2009
5120,M,103506,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Sergeant,1997
5121,F,34350.15,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015
5122,F,100849.36,Department of Public Libraries,Twinbrook Library,Fulltime-Regular,Librarian II,1985
5123,F,101901.18,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Program Manager II,1995
5124,M,52383.94,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,2012
5125,M,152285.5,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager II,2009
5126,M,27799.2,Department of Liquor Control,Montrose,Parttime-Regular,Liquor Store Clerk I,2015
5127,F,87523.22,Department of Recreation,Countywide Programs Therapeutics,Fulltime-Regular,Recreation Specialist,1986
5128,M,89620,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2000
5129,F,62777.97,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Office Services Coordinator,2000
5130,F,58455,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2013
5131,M,54580.21,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2003
5132,F,100849.36,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,1992
5133,F,70435,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2007
5134,F,40113.21,Department of Finance,Tax Operations,Fulltime-Regular,Principal Administrative Aide,2013
5135,F,93396,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,1988
5136,M,65716,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2007
5137,M,63493,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer III,2008
5138,M,72185,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2003
5139,M,67384,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2005
5140,F,82159,Department of Recreation,Upper County Community Recreation Center,Fulltime-Regular,Recreation Specialist,1983
5141,M,143609.88,Department of Finance,Information Technology,Fulltime-Regular,Technology Expert,1994
5142,M,87841,Department of Police,ISB Criminal Investigations Division Central Auto Theft Section,Fulltime-Regular,Master Police Officer,1997
5143,F,134345.28,Department of General Services,Fleet Management Services,Fulltime-Regular,Manager III,2007
5144,M,61166.35,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
5145,M,60501,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2014
5146,F,100849.36,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,1967
5147,M,92756.7,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1982
5148,F,35960.66,Department of Health and Human Services,Head Start/Pre-K (Health),Parttime-Regular,School Health Room Technician I,2005
5149,F,83088.57,Department of Recreation,Countywide Programs Sports,Fulltime-Regular,Recreation Supervisor,2005
5150,F,49512.33,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist I,2015
5151,M,88846,Fire and Rescue Services,Station 3,Fulltime-Regular,Master Firefighter/Rescuer,2004
5152,M,57265,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2012
5153,M,84974,Department of General Services,Facilities Maintenance,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,1997
5154,F,67206,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Fiscal Assistant,2002
5155,M,16610.72,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2015
5156,M,66065.23,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1992
5157,F,78293.44,County Council,Council Central Staff,Fulltime-Regular,Administrative Specialist II,2005
5158,M,42053.83,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014
5159,F,63275,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Therapist II,2016
5160,M,83497.98,Department of Transportation,Transit COS Taxicab Regulation,Fulltime-Regular,Code Enforcement Inspector III,1993
5161,F,34611.09,Department of Liquor Control,Administrative Services,Parttime-Regular,Fiscal Assistant,1988
5162,M,50910,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2014
5163,M,75453,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2005
5164,F,68364.67,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2010
5165,M,57265,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,2012
5166,M,97912,Department of Transportation,Highway Services,Fulltime-Regular,District Supervisor,1980
5167,M,70435,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Officer III,2007
5168,M,64216.01,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Water Quality Specialist II,2012
5169,M,70435,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2007
5170,M,87298.39,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Telecommunications Specialist,1988
5171,F,120768,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Senior Information Technology Specialist,1988
5172,M,33395.15,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2016
5173,M,48640.89,Department of Health and Human Services,Adult Behavioral Health Services,Parttime-Regular,Office Services Coordinator,1997
5174,F,92756.7,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,1992
5175,M,90097.47,Department of Permitting Services,Team 2 Residential Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,2006
5176,F,44694.45,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist III,2015
5177,M,67206,Department of Police,MSB Information Mgmt and Tech Division Telephone Reporting Section,Fulltime-Regular,Public Safety Telephone Reporting Aide I,1998
